Global Company Key (Gvkey),Ticker Symbol,CIK Number,Company Name
8823,PHM,822416,PULTEGROUP INC
8898,RJF,720005,RAYMOND JAMES FINANCIAL CORP
8972,RTN,1047122,RAYTHEON CO
9203,ROK,1024478,ROCKWELL AUTOMATION
9248,ROST,745732,ROSS STORES INC
9465,SLB,87347,SCHLUMBERGER LTD
9555,SEE,1012100,SEALED AIR CORP
9667,SHW,89800,SHERWIN-WILLIAMS CO
9771,AOS,91142,SMITH (A.O.)
9777,SJM,91419,SMUCKER (JM) CO
9778,SNA,91440,SNAP-ON INC
9783,KEY,91576,KEYCORP
9846,EIX,827052,EDISON INTERNATIONAL
9850,SO,92122,SOUTHERN CO
9882,LUV,92380,SOUTHWEST AIRLINES
9899,T,732717,AT&T INC
10016,SWK,93556,STANLEY BLACK & DECKER INC
10035,STT,93751,STATE STREET CORP
10096,PSA,1393311,PUBLIC STORAGE
10115,SYK,310764,STRYKER CORP
10121,NAVI,1593538,NAVIENT CORP
10187,STI,750556,SUNTRUST BANKS INC
10247,SYY,96021,SYSCO CORP
10499,TXN,97476,TEXAS INSTRUMENTS INC
10519,TXT,217346,TEXTRON INC
10530,TMO,97745,THERMO FISHER SCIENTIFIC INC
10631,TSS,721683,TOTAL SYSTEM SERVICES INC
10793,TSN,100493,TYSON FOODS INC  -CL A
10860,AEE,1002910,AMEREN CORP
10867,UNP,100885,UNION PACIFIC CORP
10894,UDR,74208,UDR INC
10903,UNH,731766,UNITEDHEALTH GROUP INC
10920,UPS,1090727,UNITED PARCEL SERVICE INC
10983,UTX,101829,UNITED TECHNOLOGIES CORP
11032,UHS,352915,UNIVERSAL HEALTH SVCS INC
11115,VAR,203527,VARIAN MEDICAL SYSTEMS INC
11220,VNO,899689,VORNADO REALTY TRUST
11228,VMC,1396009,VULCAN MATERIALS CO
11259,WMT,104169,WALMART INC
11264,WBA,1618921,WALGREENS BOOTS ALLIANCE INC
11399,WDC,106040,WESTERN DIGITAL CORP
11456,WY,106535,WEYERHAEUSER CO
11465,WHR,106640,WHIRLPOOL CORP
11506,WMB,107263,WILLIAMS COS INC
11550,WEC,783325,WEC ENERGY GROUP INC
11554,LNT,352541,ALLIANT ENERGY CORP
11584,FL,850209,FOOT LOCKER INC
11636,XRX,1770450,XEROX HOLDINGS CORP
11672,TJX,109198,TJX COS INC (THE)
11687,ZION,109380,ZIONS BANCORPORATION NA
11923,APC,773910,ANADARKO PETROLEUM CORP
12124,MS,895421,MORGAN STANLEY
12138,TROW,1113169,PRICE (T. ROWE) GROUP
12141,MSFT,789019,MICROSOFT CORP
12142,ORCL,1341439,ORACLE CORP
12151,COTY,1024305,COTY INC
12389,HOG,793952,HARLEY-DAVIDSON INC
12441,IT,749251,GARTNER INC
12540,ADBE,796343,ADOBE INC
12635,FISV,798354,FISERV INC
12726,UNM,5513,UNUM GROUP
12850,CERN,804753,CERNER CORP
13341,PGR,80661,PROGRESSIVE CORP-OHIO
13421,CDNS,813672,CADENCE DESIGN SYSTEMS INC
13498,CCL,815097,CARNIVAL CORPORATION & PLC
13510,DRE,783280,DUKE REALTY CORP
13599,CELG,816284,CELGENE CORP
13646,TIF,98246,TIFFANY & CO
13700,XRAY,818479,DENTSPLY SIRONA INC
13721,ZTS,1555280,ZOETIS INC
13988,SCHW,316709,SCHWAB (CHARLES) CORP
14225,FAST,815556,FASTENAL CO
14282,APH,820313,AMPHENOL CORP
14359,PXD,1038357,PIONEER NATURAL RESOURCES CO
14418,MGM,789570,MGM RESORTS INTERNATIONAL
14477,WM,823768,WASTE MANAGEMENT INC
14590,FCX,831259,FREEPORT-MCMORAN INC
14824,CINF,20286,CINCINNATI FINANCIAL CORP
14934,DVN,1090012,DEVON ENERGY CORP
14960,LH,920148,LABORATORY CP OF AMER HLDGS
15247,VLO,1035002,VALERO ENERGY CORP
16101,ABBV,1551152,ABBVIE INC
16245,PBCT,1378946,PEOPLE'S UNITED FINL INC
16478,EOG,821189,EOG RESOURCES INC
16721,EA,712515,ELECTRONIC ARTS INC
17120,SIVB,719739,SVB FINANCIAL GROUP
17928,IQV,1478242,IQVIA HOLDINGS INC
20548,COG,858470,CABOT OIL & GAS CORP
20686,SYF,1601712,SYNCHRONY FINANCIAL
20779,CSCO,858877,CISCO SYSTEMS INC
20904,HOLX,859737,HOLOGIC INC
21825,CFG,759944,CITIZENS FINANCIAL GROUP INC
22260,HCA,860730,HCA HEALTHCARE INC
22325,XLNX,743988,XILINX INC
23809,AZO,866787,AUTOZONE INC
23812,REGN,872589,REGENERON PHARMACEUTICALS
24197,IDXX,874716,IDEXX LABS INC
24216,AES,874761,AES CORP (THE)
24316,MNST,865752,MONSTER BEVERAGE CORP
24344,VRTX,875320,VERTEX PHARMACEUTICALS INC
24468,BIIB,875045,BIOGEN INC
24616,PYPL,1633917,PAYPAL HOLDINGS INC
24731,KIM,879101,KIMCO REALTY CORP
24782,PRGO,1585364,PERRIGO CO PLC
24800,QCOM,804328,QUALCOMM INC
24856,GILD,882095,GILEAD SCIENCES INC
24925,ROP,882835,ROPER TECHNOLOGIES INC
24975,SNPS,883241,SYNOPSYS INC
25119,MHK,851968,MOHAWK INDUSTRIES INC
25279,BSX,885725,BOSTON SCIENTIFIC CORP
25283,KSS,885639,KOHL'S CORP
25340,DHI,882184,D R HORTON INC
25434,SBUX,829224,STARBUCKS CORP
26156,HPE,1645590,HEWLETT PACKARD ENTERPRISE
26590,FTV,1659166,FORTIVE CORP
27845,AGN,1578845,ALLERGAN PLC
27914,HUM,49071,HUMANA INC
27928,INTU,896878,INTUIT INC
27965,MCHP,827054,MICROCHIP TECHNOLOGY INC
28034,CB,896159,CHUBB LTD
28180,ORLY,898173,O'REILLY AUTOMOTIVE INC
28191,RCL,884887,ROYAL CARIBBEAN CRUISES LTD
28192,ARNC,4281,ARCONIC INC
28349,ALL,899051,ALLSTATE CORP
28477,FLIR,354908,FLIR SYSTEMS INC
28733,EQR,906107,EQUITY RESIDENTIAL
28742,BWA,908255,BORGWARNER INC
28930,MAR,1048286,MARRIOTT INTL INC
29028,COST,909832,COSTCO WHOLESALE CORP
29099,REG,910606,REGENCY CENTERS CORP
29127,INCY,879169,INCYTE CORP
29389,SPG,1063761,SIMON PROPERTY GROUP INC
29392,EMN,915389,EASTMAN CHEMICAL CO
29649,MAA,912595,MID-AMERICA APT CMNTYS INC
29733,MLM,916076,MARTIN MARIETTA MATERIALS
29736,TSCO,916365,TRACTOR SUPPLY CO
29751,ALB,915913,ALBEMARLE CORP
29804,IVZ,914208,INVESCO LTD
29830,WRK,1732845,WESTROCK CO
29868,MAC,912242,MACERICH CO
29875,AVB,915912,AVALONBAY COMMUNITIES INC
